,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol,date
1837,1638057600,57300.0,57485.7,53300.0,54784.9,2157.94,119254736.3,force_direct,,2021-11-28
1838,1638144000,57830.2,58890.0,56755.1,57300.0,2979.13,172668740.89,force_direct,,2021-11-29
1839,1638230400,56980.7,59230.0,55932.6,57830.2,3880.88,223126941.59,force_direct,,2021-11-30
1840,1638316800,57237.9,59090.7,56520.0,56980.7,4211.56,241726330.6,force_direct,,2021-12-01
1841,1638403200,56526.4,57410.2,55848.2,57237.9,3226.83,182911568.92,force_direct,,2021-12-02
1842,1638489600,53678.6,57688.9,51752.6,56526.4,4366.27,239074065.46,force_direct,,2021-12-03
1843,1638576000,49255.1,53893.4,40150.1,53678.6,8936.38,431921672.36,force_direct,,2021-12-04
1844,1638662400,49443.3,49750.0,47832.2,49255.1,3742.51,183413682.09,force_direct,,2021-12-05
1845,1638748800,50564.3,50957.6,47210.0,49443.3,4070.39,199069224.23,force_direct,,2021-12-06
1846,1638835200,50650.1,51955.0,50100.0,50564.3,2712.75,138427048.56,force_direct,,2021-12-07
1847,1638921600,50515.1,51202.5,48579.3,50650.1,2997.5,150480079.07,force_direct,,2021-12-08
1848,1639008000,47581.6,50819.5,47298.4,50515.1,2691.5,131359763.42,force_direct,,2021-12-09
1849,1639094400,47218.3,50114.2,46888.8,47581.6,3323.54,160398480.91,force_direct,,2021-12-10
1850,1639180800,49367.2,49500.0,46800.0,47218.3,2068.42,100363153.99,force_direct,,2021-12-11
1851,1639267200,50113.2,50788.4,48697.8,49367.2,2022.36,100606429.9,force_direct,,2021-12-12
1852,1639353600,46732.2,50219.8,45759.0,50113.2,4915.42,233994549.29,force_direct,,2021-12-13
1853,1639440000,48399.2,48690.0,46313.7,46732.2,3830.82,180830999.76,force_direct,,2021-12-14
1854,1639526400,48881.3,49512.5,46632.0,48399.2,4250.48,205068019.51,force_direct,,2021-12-15
1855,1639612800,47631.0,49465.6,47560.0,48881.3,3345.27,162414688.53,force_direct,,2021-12-16
1856,1639699200,46168.3,48001.9,45500.0,47631.0,3794.88,177430903.39,force_direct,,2021-12-17
1857,1639785600,46864.3,47333.6,45520.2,46168.3,1868.99,86787600.09,force_direct,,2021-12-18
1858,1639872000,46688.4,48289.0,46484.8,46864.3,2067.32,97867480.55,force_direct,,2021-12-19
1859,1639958400,46898.1,47549.8,45600.0,46688.4,2989.02,138878001.26,force_direct,,2021-12-20
1860,1640044800,48925.9,49321.1,46676.5,46898.1,3879.22,188051684.99,force_direct,,2021-12-21
1861,1640131200,48624.9,49599.8,48491.0,48925.9,2036.64,99882863.46,force_direct,,2021-12-22
1862,1640217600,50818.8,51391.2,48042.3,48624.9,3079.34,152825301.83,force_direct,,2021-12-23
1863,1640304000,50834.3,51844.4,50456.0,50818.8,2363.11,120783528.58,force_direct,,2021-12-24
1864,1640390400,50436.0,51154.2,50209.2,50834.3,1222.8,62151644.56,force_direct,,2021-12-25
1865,1640476800,50797.3,51242.0,49427.9,50436.0,1079.3,54165511.96,force_direct,,2021-12-26
1866,1640563200,50687.4,52111.0,50480.2,50797.3,1629.38,83483155.25,force_direct,,2021-12-27
1867,1640649600,47548.1,50693.5,47305.5,50687.4,3639.11,178321743.22,force_direct,,2021-12-28
1868,1640736000,46473.2,48123.7,46120.0,47548.1,2346.57,111062097.78,force_direct,,2021-12-29
1869,1640822400,47143.8,47907.4,45930.1,46473.2,1928.68,90910210.73,force_direct,,2021-12-30
1870,1640908800,46150.0,48591.6,45530.3,47143.8,3113.02,146778880.61,force_direct,,2021-12-31
1871,1640995200,47738.3,47922.6,46150.0,46150.0,2133.69,100357903.33,force_direct,,2022-01-01
1872,1641081600,47304.6,47950.4,46700.0,47738.3,1343.76,63420761.1,force_direct,,2022-01-02
1873,1641168000,46452.6,47567.2,45707.9,47304.6,2133.14,99501483.14,force_direct,,2022-01-03
1874,1641254400,45858.5,47500.0,45548.7,46452.6,2219.89,103088592.98,force_direct,,2022-01-04
1875,1641340800,43410.0,47066.5,42505.0,45858.5,4070.48,182117691.98,force_direct,,2022-01-05
1876,1641427200,43124.4,43748.0,42424.0,43410.0,4794.7,206710754.03,force_direct,,2022-01-06
1877,1641513600,41523.6,43134.9,40666.0,43124.4,5771.29,241595188.88,force_direct,,2022-01-07
1878,1641600000,41693.2,42302.4,40555.0,41523.6,2564.74,106018748.5,force_direct,,2022-01-08
